,Mortos,,,Feridos graves,,,Feridos leves,,,Índ. de Gravidade,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98,1998,1999
,,,,,,,,,,,
"REGIÃO
DO
ALENTEJO",149,154,5,581,,-7,2656,2747,91,6.4,6.5
,,,,,574,,,,,,
,,,,,,,,,,,
Beja,61,64,3,155,166,11,928,1004,76,7.7,7.7
,,,,,,,,,,,
Évora,50,52,2,239,244,5,1039,1080,41,5.6,5.5
,,,,,,,,,,,
Portalegre,38,38,0,187,164,-23,689,663,-26,6.1,6.3
,,,,,,,,,,,
