,,,1995,1996,1997,1998,1999
,,Norte,8389,8735,7417,9976,13054
,,Centro,11161,10671,8967,9996,12612
,A,Lisboa e Vale do Tejo,9563,9401,8876,14522,18456
,,Alentejo,1432,1356,1090,1568,2244
,,Algarve,1190,1159,966,1302,1991
,,Total,31735,31322,27316,37364,48357
,,Norte,74181,73559,64154,65446,55849
,,Centro,54472,53210,46857,43889,40191
,B,Lisboa e Vale do Tejo,65370,63598,62640,56752,48650
,,Alentejo,11459,10505,9256,8522,7513
,,Algarve,6774,6575,6053,5187,4744
,,Total,212256,207447,188960,179796,156947
,,Norte,2632,3161,3051,2799,2773
,,Centro,2995,3622,3662,3382,2963
,C,Lisboa e Vale do Tejo,2211,2850,3077,2698,2140
,,Alentejo,582,707,723,639,530
,,Algarve,253,320,379,303,243
,,Total,8673,10660,10892,9821,8649
,,Norte,506,647,626,685,804
,,Centro,354,475,481,611,615
,D,Lisboa e Vale do Tejo,295,485,661,784,678
,,Alentejo,81,122,117,106,133
,,Algarve,39,68,69,77,97
,,Total,1275,1797,1954,2263,2327
,,Norte,996,1392,1472,3566,3309
,,Centro,1560,1999,2294,5260,4668
,E,Lisboa e Vale do Tejo,1167,1475,1800,3969,3500
,,Alentejo,267,317,386,823,751
,,Algarve,111,108,176,398,304
,,Total,4101,5291,6128,14016,12532
TOTAL GERAL,,,258040,256517,235250,243260,228812
