,,,,,,,,,
,Condutores intervenientes,,,Condutores intervenientes,,,Condutores intervenientes,,
,em,,,em,,,em,,
,acidentes c/ vítimas,,,acid. c/ mortos e/ou f.graves,,,acidentes c/ mortos,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
< 1 ano,4035,3798,-237,568,533,-35,105,88,-17
,,,,,,,,,
1 e 2 anos,14216,12625,-1591,2099,1771,-328,353,306,-47
,,,,,,,,,
3 anos,5410,5405,-5,768,795,27,147,138,-9
,,,,,,,,,
4 anos,5002,4530,-472,763,617,-146,147,112,-35
,,,,,,,,,
5 anos,5046,4205,-841,770,612,-158,166,117,-49
,,,,,,,,,
De 6 a 10 anos,15372,15774,402,2308,2249,-59,464,465,1
,,,,,,,,,
De 11 a 20 anos,13236,12873,-363,2072,1878,-194,429,378,-51
,,,,,,,,,
> 20 anos,13693,13516,-177,2172,1989,-183,450,405,-45
,,,,,,,,,
Sem carta,3240,3791,551,755,918,163,340,435,95
,,,,,,,,,
Não definido,4234,3911,-323,845,721,-124,30,34,4
,,,,,,,,,
Total,83484,80428,-3056,13120,12083,-1037,2631,2478,-153
,,,,,,,,,
