REGIÃO DO ALGARVE,,"Acidentes
com vítimas",,"Acidentes com
mortos e/ou
f. graves",Acidentes,Mortos,"Feridos
graves","Feridos
leves"
,REGIÃO DO ALGARVE,,,,com mortos,,,
,,,,,,,,
,Faro,2920,,380,95,114,345,3421
Dentro Localidade,Dentro Localidade,1405,,148,17,17,147,1571
,,,,,,,,
Fora Localidade,Fora Localidade,1515,,232,78,97,198,1850
,,,,,,,,
