,Acidentes com vítimas,,,"Acidentes com mortos e/ou
feridos graves",,,Acidentes com mortos,,
,1998,1999,"99/98
%",1998,1999,"99/98
%",1998,1999,99/98
,,,,,,,,,%
"REGIÃO
NORTE",13143,12859,"-2,2",1308,,"-5,8",424,412,
,,,,,1232,,,,"-2,8"
,,,,,,,,,
Braga,3481,3239,"-7,0",384,325,"-15,4",128,101,"-21,1"
,,,,,,,,,
Bragança,514,432,"-16,0",123,101,"-17,9",34,24,"-29,4"
,,,,,,,,,
Porto,7269,7359,"1,2",569,560,"-1,6",182,193,"6,0"
,,,,,,,,,
V. Castelo,1046,1134,"8,4",107,131,"22,4",39,56,"43,6"
,,,,,,,,,
V. Real,833,695,"-16,6",125,115,"-8,0",41,38,"-7,3"
,,,,,,,,,
