,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos Graves,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Colisão,29480,28312,-1168,913,811,-102,4374,4090,-284
,,,,,,,,,
Despiste,11067,11507,440,586,591,5,2053,2086,33
,,,,,,,,,
Atropelamento,8425,8147,-278,350,348,-2,1690,1521,-169
,,,,,,,,,
