,Acidentes com vítimas,,,"Acidentes com mortos e/ou
feridos graves",,,Acidentes com mortos,,
,1998,1999,"99/98
%",1998,1999,"99/98
%",1998,1999,99/98
,,,,,,,,,%
"REGIÃO
CENTRO",12943,13026,0.6,2100,,-8.4,517,476,
,,,,,1923,,,,-7.9
,,,,,,,,,
Aveiro,4132,4086,-1.1,651,566,-13.1,127,113,-11.0
,,,,,,,,,
C. Branco,713,783,9.8,169,192,13.6,44,57,29.5
,,,,,,,,,
Coimbra,2555,2654,3.9,309,244,-21.0,93,82,-11.8
,,,,,,,,,
Guarda,647,670,3.6,154,123,-20.1,45,36,-20.0
,,,,,,,,,
Leiria,3286,3263,-0.7,560,577,3.0,120,119,-0.8
,,,,,,,,,
Viseu,1610,1570,-2.5,257,221,-14.0,88,69,-21.6
,,,,,,,,,
