,,,,,,,,,
,Vítimas mortais,,,Feridos graves,,,Feridos leves,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Capacete,46,41,-5,328,306,-22,2728,2336,-392
Cinto de segurança,251,240,-11,1094,1254,160,11446,12247,801
Cadeira criança frente,0,0,0,1,6,5,14,73,59
Cadeira criança atrás,0,2,2,3,14,11,52,369,317
Sem cadeira criança,1,3,2,11,26,15,57,294,237
Sem uso cinto/capacete,107,97,-10,393,416,23,3191,3102,-89
Não definido,34,0,-34,157,23,-134,1052,111,-941
