,,,,,,,,,
,Acidentes c/ vítimas,,,Vítimas mortais,,,Feridos Graves,,
,,,,,,,,,
,1998,1999,99/98,1998,1999,99/98,1998,1999,99/98
,,,,,,,,,
Dia,39825,32956,-6869,1441,925,-516,6231,4711,-1520
,,,,,,,,,
Bom tempo,37682,27918,-9764,1384,769,-615,5914,4012,-1902
,,,,,,,,,
Chuva,1937,4785,2848,48,151,103,265,657,392
,,,,,,,,,
Outros (1),206,253,47,9,5,-4,52,42,-10
,,,,,,,,,
Noite,9357,14987,5630,420,824,404,1916,2981,1065
,,,,,,,,,
Bom tempo,7690,12046,4356,351,680,329,1600,2451,851
,,,,,,,,,
Chuva,1397,2704,1307,56,124,68,247,490,243
,,,,,,,,,
Outros (1),270,237,-33,13,20,7,69,40,-29
,,,,,,,,,
Não definido,137,23,-114,4,1,-3,30,5,-25
,,,,,,,,,
Bom tempo,92,7,-85,3,1,-2,21,0,-21
,,,,,,,,,
Chuva,7,3,-4,0,0,0,1,1,0
,,,,,,,,,
Outros (1),38,13,-25,1,0,-1,8,4,-4
,,,,,,,,,
Total dia e noite,49182,47943,-1239,1861,1749,-112,8147,7692,-455
,,,,,,,,,
Bom tempo,45464,39971,-5493,1738,1450,-288,7535,6463,-1072
,,,,,,,,,
Chuva,3341,7492,4151,104,275,171,513,1148,635
,,,,,,,,,
Outros (1),514,503,-11,23,25,2,129,86,-43
,,,,,,,,,
