,,,Escolas,Instrutores,,
,,,,Em escolas,Independentes,Total
,,Braga,62,380,,380
,REGIÃO,Bragança,15,74,,74
,NORTE,Porto,90,745,3,748
,,V.Castelo,27,142,,142
,,Vila Real,23,110,,110
,,,217,1451,3,1454
,,Aveiro,36,328,,328
,,C.Branco,19,126,,126
,REGIÃO,Coimbra,33,258,,258
,CENTRO,Guarda,20,108,,108
,,Leiria,32,236,,236
,,Viseu,34,216,,216
,,,174,1272,0,1272
,,Lisboa,103,917,,917
,REGIÃO LISBOA,Santarém,38,184,,184
,V. TEJO,Setúbal,33,328,,328
,,,174,1429,0,1429
,,Beja,20,81,,81
,REGIÃO,Évora,19,115,,115
,ALENTEJO,Portalegre,15,47,,47
,,,54,243,0,243
R. ALGARVE,,Faro,40,148,,148
,TOTAL,,659,4543,3,4546
