,,Condutores testados,,,,,Total
,,Não infractores,Infractores,,,,condutores
,,,,,,,intervenientes
,,"TAS<0,5 g/l","TAS>=0,5","TAS>=0,8","TAS>= 1,2 g/l",Total,
,,,,,,,
,,,"e <0,8 g/l","e <1,2 g/l",,,
,1998,664,2,5,22,29,1742
Velocípedes,1999,895,2,6,22,30,1780
,99/98,231,0,1,0,1,38
,,,,,,,
,1998,6395,24,68,313,405,13481
Ciclomotores,1999,6541,35,60,304,399,10724
,99/98,146,11,-8,-9,-6,-2757
,,,,,,,
,1998,2886,1,18,55,74,5616
Motociclos,1999,3706,16,27,63,106,5713
,99/98,820,15,9,8,32,97
,,,,,,,
Veículos,1998,35561,154,316,942,1412,57828
Ligeiros,1999,46918,260,402,1007,1669,57598
,99/98,11357,106,86,65,257,-230
,,,,,,,
Veículos,1998,2456,4,9,12,25,3858
Pesados,1999,3559,10,12,20,42,3971
,99/98,1103,6,3,8,17,113
,,,,,,,
Outros,1998,408,2,3,11,16,959
Veículos,1999,491,2,1,4,7,642
,99/98,83,0,-2,-7,-9,-317
,,,,,,,
,1998,48370,187,419,1355,1961,83484
Total,1999,62110,325,508,1420,2253,80428
,99/98,13740,138,89,65,292,-3056
,,,,,,,
