Distrito de Évora,,,,,,,,
,,,,,,,,
Código,Km,km,Nº de,Nº de,Nº de,Nº de,Nº de,Indicador de
da via,Inicial,Final,Acidentes,Veículos,Mortos,F.Graves,F.Leves,Gravidade
EN2,"470,000","470,150",6,9,0,2,10,50
,,,,,,,,
,,Total,6,9,0,2,10,
,,,,,,,,
Distrito de Portalegre,,,,,,,,
,,,,,,,,
EN18,"160,100","160,200",5,9,0,1,9,37
,,,,,,,,
,,Total,5,9,0,1,9,
,,,,,,,,
