,,,,,,,,,
,1995,1996,96/95,1997,97/96,1998,98/97,1999,99/98
,,,,,,,,,
Vítimas mortais,2085,2100,15,1939,-161,1865,-74,1750,-115
,,,,,,,,,
Condutores,1139,1145,6,1104,-41,1070,-34,1022,-48
Passageiros,486,475,-11,413,-62,439,26,383,-56
,,,,,,,,,
Peões,460,480,20,422,-58,356,-66,345,-11
Feridos Graves,11229,10842,-387,9335,-1507,8177,-1158,7697,-480
,,,,,,,,,
Condutores,5839,5718,-121,5172,-546,4479,-693,4115,-364
,,,,,,,,,
Passageiros,2865,2651,-214,2190,-461,1987,-203,2045,58
Peões,2525,2473,-52,1973,-500,1711,-262,1537,-174
,,,,,,,,,
Feridos Leves,54598,55785,1187,57181,1396,58426,1245,57630,-796
,,,,,,,,,
Condutores,29689,30574,885,32586,2012,32901,315,32253,-648
Passageiros,17680,18017,337,17379,-638,18540,1161,18532,-8
,,,,,,,,,
Peões,7229,7194,-35,7216,22,6985,-231,6845,-140
,,,,,,,,,
